# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       0.15
1                       0.16
2                       0.15
4                       0.15
8                       0.15
16                      0.15
32                      0.18
64                      0.21
128                     0.33
256                     0.33
512                     0.36
1024                    0.44
2048                    0.57
4096                    0.81
8192                    1.17
16384                   1.90
32768                   3.04
65536                   5.09
131072                  8.13
262144                 23.94
524288                 45.03
1048576                86.25
2097152               169.21
4194304               341.96
