
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      32.89             31.93             34.22        1000
2                      33.47             32.57             34.95        1000
4                      33.77             33.19             34.72        1000
8                      34.30             33.25             35.62        1000
16                     35.24             34.56             36.13        1000
32                     38.09             37.25             39.25        1000
64                     43.66             42.20             44.35        1000
128                    49.61             49.07             50.57        1000
256                    69.99             68.00             72.07        1000
512                   110.67            108.82            113.07        1000
1024                  167.28            165.19            169.97        1000
2048                  281.75            276.83            284.93        1000
4096                  506.43            504.97            507.93        1000
8192                  953.97            951.95            956.05        1000
16384                2045.53           2033.25           2057.06         100
32768                4145.01           4129.07           4160.36         100
65536                8258.59           8226.37           8289.51         100
131072              16794.20          16734.32          16849.62         100
262144              28117.34          28016.44          28188.45         100
524288              56822.99          56536.98          57045.98         100
1048576            114865.61         114180.62         115350.50         100
