
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      28.79             27.41             30.46        1000
2                      29.96             28.16             32.08        1000
4                      30.37             27.83             33.38        1000
8                      32.26             30.01             34.77        1000
16                     35.45             33.64             37.43        1000
32                     38.95             37.33             41.18        1000
64                     48.91             46.43             51.38        1000
128                    65.06             62.49             68.43        1000
256                   189.25            184.81            197.87        1000
512                   276.46            258.32            291.77        1000
1024                  381.71            364.56            393.69        1000
2048                  621.55            602.85            633.68        1000
4096                 1117.26           1114.85           1121.98        1000
8192                 2050.37           2047.64           2053.94        1000
16384                4108.60           4097.81           4118.97         100
32768                8367.60           8346.73           8381.03         100
65536               17196.39          17142.53          17240.47         100
131072              34896.94          34813.50          34967.60         100
262144              59479.69          58727.91          59781.84         100
524288             120918.39         118774.25         121419.81         100
1048576            262469.64         257597.40         263504.66         100
