
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      40.39             39.44             41.61        1000
2                      41.18             40.50             42.14        1000
4                      41.59             40.88             42.82        1000
8                      41.83             41.18             42.63        1000
16                     42.89             42.10             44.06        1000
32                     45.29             44.52             46.14        1000
64                     50.06             49.45             51.08        1000
128                    64.44             63.59             65.45        1000
256                   110.18            109.15            110.99        1000
512                   158.61            156.76            160.30        1000
1024                  228.46            226.78            229.68        1000
2048                  365.50            364.10            366.65        1000
4096                  583.77            582.35            585.27        1000
8192                 1162.00           1159.97           1163.69        1000
16384                2381.54           2369.89           2390.39         100
32768                4855.39           4842.16           4864.71         100
65536                9755.33           9719.08           9783.86         100
131072              19839.24          19777.13          19882.21         100
262144              33491.13          33384.65          33563.20         100
524288              67571.86          67283.34          67800.83         100
1048576            139218.23         138455.79         139748.84         100
