
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      46.79             45.25             48.45        1000
2                      51.90             51.01             53.11        1000
4                      52.15             50.71             53.39        1000
8                      55.94             54.98             56.74        1000
16                     62.91             61.37             64.52        1000
32                     97.26             95.52             98.34        1000
64                    163.55            161.90            165.68        1000
128                   299.83            297.07            302.32        1000
256                   412.82            409.53            419.96        1000
512                   577.20            573.79            581.90        1000
1024                  808.08            802.83            813.28        1000
2048                 1270.42           1258.98           1280.22        1000
4096                 2220.08           2216.20           2224.51        1000
8192                 4149.77           4142.40           4155.22        1000
16384                8271.87           8238.29           8293.59         100
32768               16741.66          16717.27          16780.66         100
65536               33781.87          33747.25          33814.22         100
131072              68505.47          68423.16          68559.94         100
262144             115302.51         114722.21         115652.19         100
524288             232115.80         231194.56         232606.13         100
1048576            483377.44         481513.81         484183.61         100
