
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      65.96             64.99             67.04        1000
2                      67.65             65.81             69.33        1000
4                      72.56             68.28             81.87        1000
8                      75.78             74.42             77.33        1000
16                    104.05            102.13            106.16        1000
32                    165.52            163.41            167.84        1000
64                    293.64            290.14            297.29        1000
128                   576.14            573.41            579.55        1000
256                   811.90            805.73            827.14        1000
512                  1190.21           1185.67           1198.79        1000
1024                 1638.15           1633.68           1645.87        1000
2048                 2555.88           2543.70           2569.90        1000
4096                 4469.84           4464.84           4474.84        1000
8192                 8356.22           8345.11           8366.75        1000
16384               16561.03          16522.60          16595.92         100
32768               33176.73          33111.65          33213.44         100
65536               67032.59          66953.51          67090.33         100
131072             136789.13         136643.38         136907.95         100
262144             227080.05         226689.24         227377.17         100
524288             467877.14         467129.87         468327.09         100
1048576            937800.40         936427.40         938632.66         100
