
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      44.76             42.96             46.23        1000
2                      45.06             43.25             46.73        1000
4                      45.82             43.50             47.49        1000
8                      49.34             47.31             51.56        1000
16                     54.97             51.42             57.65        1000
32                     72.26             69.68             74.72        1000
64                    106.80            102.73            111.41        1000
128                   191.64            181.40            199.02        1000
256                   611.22            607.03            615.83        1000
512                   887.75            882.42            894.72        1000
1024                 1227.15           1221.09           1240.53        1000
2048                 1921.07           1909.24           1936.01        1000
4096                 3425.59           3421.54           3429.56        1000
8192                 6337.79           6334.51           6342.15        1000
16384               12517.23          12491.61          12542.43         100
32768               25063.49          25038.86          25099.95         100
65536               50452.54          50406.73          50487.68         100
131072             102307.63         102192.41         102379.47         100
262144             170681.11         170205.28         170966.39         100
524288             353718.99         353274.63         354084.30         100
1048576            741638.86         740577.13         742855.48         100
