
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      16.11             13.66             18.80        1000
2                      11.99              9.65             14.78        1000
4                      12.61             10.21             15.31        1000
8                      13.36             11.06             16.18        1000
16                     14.54             11.49             17.49        1000
32                     18.35             14.27             21.37        1000
64                     25.20             20.47             32.12        1000
128                    33.08             26.39             38.78        1000
256                    78.88             67.09             87.99        1000
512                   109.81            107.65            111.13        1000
1024                  166.72            164.10            169.32        1000
2048                  284.27            280.21            288.15        1000
4096                  524.45            518.64            528.59        1000
8192                  997.43            989.47           1004.47        1000
16384                1975.87           1937.19           2004.58         100
32768                4085.94           4010.79           4155.04         100
65536                7969.09           7844.27           8087.27         100
131072              15842.89          15588.48          16005.66         100
262144              32340.33          32044.56          32572.90         100
524288              55773.29          55382.64          56103.57         100
1048576            112840.55         111841.33         113492.22         100
