
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      71.09             69.68             72.58        1000
2                      74.76             73.21             76.23        1000
4                      80.92             78.45             83.40        1000
8                      87.33             85.86             88.81        1000
16                    138.75            136.13            141.62        1000
32                    222.21            219.13            225.64        1000
64                    414.50            408.21            425.65        1000
128                   831.11            821.28            841.24        1000
256                  1210.72           1197.26           1226.48        1000
512                  1796.40           1790.20           1805.34        1000
1024                 2495.62           2488.00           2504.21        1000
2048                 3869.34           3854.40           3881.74        1000
4096                 6782.27           6778.94           6786.15        1000
8192                12568.68          12561.26          12579.67        1000
16384               24713.67          24677.81          24751.09         100
32768               49625.62          49566.10          49684.84         100
65536              100487.74         100409.56         100560.35         100
131072             205789.56         205568.04         205942.55         100
262144             340179.20         339570.05         340531.68         100
524288             715617.27         715089.01         716060.52         100
1048576           1456675.71        1455738.75        1457430.66         100
