
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      36.33             34.48             38.29        1000
2                      33.84             33.31             34.31        1000
4                      33.91             33.26             34.41        1000
8                      34.27             33.38             35.21        1000
16                     35.84             35.02             36.75        1000
32                     37.50             37.15             37.93        1000
64                     40.89             40.09             41.89        1000
128                    49.79             48.53             51.07        1000
256                    69.42             67.97             70.66        1000
512                   110.87            109.41            111.85        1000
1024                  167.35            164.91            169.20        1000
2048                  282.44            278.34            285.22        1000
4096                  498.45            497.47            499.61        1000
8192                  957.63            956.14            959.58        1000
16384                1989.95           1979.87           1998.41         100
32768                4127.09           4114.28           4140.40         100
65536                8246.09           8222.11           8273.04         100
131072              16775.01          16704.93          16835.40         100
262144              28071.24          27935.01          28150.25         100
524288              56834.08          56491.29          57072.74         100
1048576            115990.31         115255.26         116509.76         100
