
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       5.27              5.00              5.67        1000
2                       5.27              5.04              5.67        1000
4                       5.23              4.98              5.63        1000
8                       5.21              4.98              5.59        1000
16                      5.19              4.94              5.55        1000
32                      5.90              5.34              6.46        1000
64                      5.97              5.39              6.54        1000
128                     8.38              7.76              8.98        1000
256                     8.62              8.07              9.24        1000
512                     9.60              8.90             10.30        1000
1024                   13.29             12.44             14.13        1000
2048                   20.35             19.86             21.19        1000
4096                   35.42             34.08             36.69        1000
8192                   63.97             61.56             66.12        1000
16384                 125.61            121.94            128.33         100
32768                 246.81            240.91            251.63         100
65536                 483.08            460.99            501.15         100
131072               1119.50           1062.70           1144.58         100
262144               1185.14           1086.79           1213.10         100
524288               3941.83           3791.44           4118.98         100
1048576              5805.30           5452.32           6171.65         100
