
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      17.87             14.19             21.54        1000
2                      24.29             18.98             29.03        1000
4                      24.43             19.36             29.14        1000
8                      19.75             15.70             23.55        1000
16                     21.39             16.91             25.13        1000
32                     24.16             18.93             29.28        1000
64                     27.79             21.55             32.88        1000
128                    43.88             36.68             50.92        1000
256                    82.09             55.50             94.01        1000
512                   136.88             96.00            153.24        1000
1024                  226.18            223.56            228.80        1000
2048                  360.43            358.37            362.64        1000
4096                  653.15            649.86            656.15        1000
8192                 1216.51           1206.12           1225.59        1000
16384                2376.94           2341.86           2407.88         100
32768                4776.39           4700.07           4849.55         100
65536                9336.17           9180.79           9446.64         100
131072              19211.05          18924.06          19347.38         100
262144              39987.10          39754.06          40168.37         100
524288              66721.47          66337.21          67058.93         100
1048576            134844.12         133739.39         135606.80         100
