
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      31.63             30.36             33.15        1000
2                      31.91             31.12             32.97        1000
4                      38.98             37.96             40.90        1000
8                      34.00             33.14             35.00        1000
16                     34.32             33.75             34.93        1000
32                     36.04             35.37             37.01        1000
64                     39.09             38.03             40.21        1000
128                    45.46             44.82             46.22        1000
256                    55.50             54.60             56.54        1000
512                    89.20             87.53             90.79        1000
1024                  133.23            131.41            135.35        1000
2048                  223.59            219.75            226.47        1000
4096                  388.11            386.44            389.66        1000
8192                  741.96            739.91            744.33        1000
16384                1560.56           1550.43           1565.13         100
32768                3313.15           3300.32           3323.57         100
65536                6628.42           6601.24           6659.26         100
131072              13393.75          13343.37          13439.73         100
262144              22702.91          22557.45          22793.10         100
524288              45788.67          45449.61          46046.30         100
1048576             93189.93          92551.30          93658.54         100
