
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      40.38             40.00             40.92        1000
2                      41.81             41.33             42.45        1000
4                      41.91             41.43             42.36        1000
8                      42.55             41.86             43.65        1000
16                     44.16             43.80             44.74        1000
32                     46.14             45.41             47.17        1000
64                     51.21             50.73             52.09        1000
128                    66.26             65.51             67.06        1000
256                   110.38            109.12            111.42        1000
512                   161.59            159.54            163.04        1000
1024                  228.42            226.62            230.00        1000
2048                  363.54            362.35            365.37        1000
4096                  586.60            585.50            588.29        1000
8192                 1158.44           1156.40           1160.37        1000
16384                2380.98           2367.45           2390.10         100
32768                4848.40           4838.22           4857.55         100
65536                9734.19           9712.07           9762.66         100
131072              19839.25          19795.05          19886.17         100
262144              33493.58          33345.55          33566.70         100
524288              67579.53          67244.17          67834.23         100
1048576            139247.06         138563.60         139761.37         100
