
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      14.36
2                      13.79
4                      18.86
8                      19.74
16                     19.67
32                     22.10
64                     29.72
128                    37.28
256                    54.16
512                    88.97
1024                  169.83
2048                  243.45
4096                  621.37
8192                 1136.83
16384                 991.29
32768                1961.04
65536                4289.01
131072               8350.14
262144              17768.61
524288              34641.57
1048576             74097.44
