
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      58.94             56.32             62.48        1000
2                      63.74             46.73             78.36        1000
4                      62.75             44.13             78.33        1000
8                      70.79             51.07             87.07        1000
16                     79.56             56.34             98.45        1000
32                    125.49             93.66            151.04        1000
64                    255.66            207.43            301.43        1000
128                   365.96            243.39            435.49        1000
256                   695.43            525.15            810.17        1000
512                  1284.79            861.30           1498.73        1000
1024                 2495.50           2485.41           2504.67        1000
2048                 3828.87           3812.63           3842.01        1000
4096                 6897.00           6850.07           6920.75        1000
8192                12644.00          12576.05          12698.74        1000
16384               24530.31          24435.63          24632.95         100
32768               49130.35          48993.79          49236.35         100
65536               97809.83          97285.34          98212.61         100
131072             169632.28         168664.32         169885.03         100
262144             340691.78         338979.84         341146.08         100
524288             684105.03         680898.77         689210.32         100
1048576           1385720.25        1380941.47        1395467.11         100
