
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      75.26             74.22             76.56        1000
2                      76.84             75.06             78.49        1000
4                      80.50             78.46             82.67        1000
8                      87.71             85.86             90.05        1000
16                    137.23            135.05            139.31        1000
32                    221.77            218.61            225.57        1000
64                    413.15            404.64            421.66        1000
128                   836.49            822.53            846.99        1000
256                  1214.76           1206.11           1227.80        1000
512                  1799.31           1793.18           1809.48        1000
1024                 2497.27           2490.17           2508.36        1000
2048                 3871.07           3859.88           3883.72        1000
4096                 6782.38           6778.04           6787.52        1000
8192                12571.25          12565.12          12578.42        1000
16384               24718.58          24656.27          24768.38         100
32768               49626.46          49580.39          49669.79         100
65536              100524.85         100456.21         100577.61         100
131072             205747.53         205574.22         205904.65         100
262144             340233.48         339656.51         340572.57         100
524288             702977.10         702500.20         703471.96         100
1048576           1440938.18        1440007.57        1441675.60         100
