
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      64.25             62.90             66.44        1000
2                      65.12             63.87             66.27        1000
4                      67.67             65.32             69.87        1000
8                      76.04             74.27             78.01        1000
16                    104.70            102.92            106.56        1000
32                    171.89            170.29            173.97        1000
64                    293.33            289.56            297.14        1000
128                   576.16            572.61            580.80        1000
256                   808.48            796.65            818.98        1000
512                  1186.04           1180.60           1192.90        1000
1024                 1634.18           1628.88           1640.40        1000
2048                 2548.31           2537.74           2559.97        1000
4096                 4463.35           4458.23           4468.09        1000
8192                 8343.81           8333.80           8352.21        1000
16384               16512.85          16483.94          16540.59         100
32768               33097.95          33061.04          33127.84         100
65536               67056.99          66974.86          67132.71         100
131072             136857.41         136736.39         136957.41         100
262144             227052.64         226526.29         227385.90         100
524288             472100.07         471435.58         472451.78         100
1048576            944337.61         943035.63         945049.31         100
