# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       0.18
1                       0.17
2                       0.18
4                       0.17
8                       0.18
16                      0.18
32                      0.18
64                      0.22
128                     0.34
256                     0.35
512                     0.36
1024                    0.45
2048                    0.59
4096                    0.83
8192                    1.20
16384                   1.91
32768                   3.07
65536                   5.18
131072                  8.04
262144                 23.77
524288                 44.29
1048576                85.27
2097152               169.72
4194304               338.74
