
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      29.17             27.76             38.29        1000
2                      33.28             22.85             40.99        1000
4                      35.19             34.00             37.00        1000
8                      39.43             37.24             44.85        1000
16                     61.12             50.88             64.03        1000
32                     58.04             55.48             61.14        1000
64                     94.81             91.49             99.80        1000
128                   177.38            170.54            183.97        1000
256                   313.19            205.47            394.35        1000
512                   626.32            460.27            751.07        1000
1024                 1230.43           1225.40           1236.12        1000
2048                 1910.25           1900.63           1923.56        1000
4096                 3419.16           3403.33           3437.62        1000
8192                 6307.71           6255.96           6344.39        1000
16384               12306.45          12242.53          12346.23         100
32768               24575.94          24493.38          24629.99         100
65536               49135.71          48963.14          49251.07         100
131072              84606.38          83981.48          84875.06         100
262144             170616.40         169531.48         171085.49         100
524288             341021.13         338223.79         345824.82         100
1048576            697164.72         686174.28         712930.51         100
