
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       8.00              7.40              9.05        1000
2                       8.18              7.67              9.14        1000
4                       8.98              8.39              9.78        1000
8                       9.99              7.62             12.56        1000
16                     11.95             11.04             13.44        1000
32                     12.90             11.74             14.75        1000
64                     14.70             13.33             16.59        1000
128                    19.04             17.17             21.45        1000
256                    27.95             25.34             31.35        1000
512                    31.76             22.55             41.87        1000
1024                   52.80             35.24             66.50        1000
2048                   92.09             84.17            108.71        1000
4096                  158.31            150.17            173.16        1000
8192                  306.24            294.27            332.33        1000
16384                 280.85            250.52            329.06         100
32768                 449.05            433.27            487.03         100
65536                1240.73           1122.90           1348.54         100
131072               3309.21           3266.78           3359.85         100
262144               7222.93           6584.56           7615.87         100
524288              16076.42          14825.56          16819.66         100
1048576             38586.18          36169.12          40558.51         100
