
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       8.69              7.04             10.25        1000
2                       8.50              6.90             10.04        1000
4                       8.54              7.04             10.21        1000
8                       8.99              7.48             10.47        1000
16                     10.16              8.31             11.69        1000
32                     11.70              9.79             13.90        1000
64                     13.04             10.82             15.19        1000
128                    15.73             12.89             18.29        1000
256                    23.49             18.96             27.47        1000
512                    39.65             38.67             40.37        1000
1024                   65.22             62.63             66.79        1000
2048                  109.56            106.57            111.00        1000
4096                  206.51            203.06            209.11        1000
8192                  398.57            393.86            402.26        1000
16384                 772.74            757.56            788.61         100
32768                1636.99           1598.27           1652.74         100
65536                3289.80           3225.08           3346.23         100
131072               6669.25           6549.23           6776.01         100
262144              13640.97          13329.25          13843.40         100
524288              22730.15          22347.42          23015.89         100
1048576             46173.07          45208.99          46797.22         100
