
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      16.36             15.24             17.58        1000
2                      16.54             15.11             17.81        1000
4                      16.55             14.83             18.15        1000
8                      17.02             15.15             18.83        1000
16                     17.11             15.02             18.99        1000
32                     17.51             16.25             18.55        1000
64                     18.58             16.72             20.73        1000
128                    20.75             18.80             22.64        1000
256                    16.34             15.76             16.81        1000
512                    21.05             20.46             21.49        1000
1024                   33.77             33.16             34.28        1000
2048                   56.64             55.37             57.38        1000
4096                  101.64            100.23            102.99        1000
8192                  181.80            179.77            183.95        1000
16384                 388.31            385.33            392.17         100
32768                 821.32            813.23            826.30         100
65536                1806.03           1776.33           1819.41         100
131072               3794.13           3742.25           3831.53         100
262144               6478.45           6201.76           6556.77         100
524288              13122.80          12820.25          13321.63         100
1048576             26749.74          26125.58          27179.53         100
