
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       6.75              6.30              7.11        1000
2                       6.73              6.05              7.31        1000
4                       7.07              6.43              7.70        1000
8                       7.49              6.22              8.92        1000
16                      7.99              5.66             10.39        1000
32                      8.52              6.18             10.48        1000
64                     10.75              8.75             13.42        1000
128                    12.44             10.06             15.50        1000
256                    14.77             10.55             18.28        1000
512                    22.19             21.65             22.60        1000
1024                   31.74             31.14             32.35        1000
2048                   57.12             56.56             57.76        1000
4096                  105.06            103.26            106.27        1000
8192                  199.40            193.66            203.39        1000
16384                 401.62            392.08            410.08         100
32768                 903.38            890.81            924.95         100
65536                1667.04           1578.96           1760.19         100
131072               3471.18           3411.22           3537.57         100
262144               7062.15           6892.01           7210.74         100
524288              12003.45          11690.12          12303.20         100
1048576             24349.97          23473.58          25047.88         100
