
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      31.32             30.71             31.87        1000
2                      31.38             30.90             31.87        1000
4                      32.52             31.88             33.10        1000
8                      32.95             32.00             33.91        1000
16                     33.57             32.86             34.45        1000
32                     35.24             34.59             35.81        1000
64                     38.01             37.52             38.59        1000
128                    44.55             43.58             45.43        1000
256                    55.38             54.69             55.88        1000
512                    88.77             87.26             90.15        1000
1024                  136.70            134.77            138.44        1000
2048                  223.61            219.29            227.26        1000
4096                  383.13            381.40            384.81        1000
8192                  740.82            739.05            742.54        1000
16384                1569.06           1562.37           1574.76         100
32768                3306.50           3293.65           3319.02         100
65536                6633.02           6595.93           6658.20         100
131072              13399.15          13310.80          13456.49         100
262144              22844.59          22696.00          22919.21         100
524288              46073.20          45772.59          46343.28         100
1048576             93260.66          92583.23          93727.07         100
