
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      64.82             62.47             67.85        1000
2                      66.76             64.94             68.63        1000
4                      70.02             67.97             72.82        1000
8                      76.56             75.36             78.38        1000
16                    121.88            116.05            128.86        1000
32                    195.58            187.84            204.58        1000
64                    352.43            348.70            356.47        1000
128                   697.44            689.91            710.90        1000
256                  1016.31           1006.42           1031.95        1000
512                  1502.43           1493.19           1514.31        1000
1024                 2081.02           2074.13           2091.37        1000
2048                 3204.66           3193.07           3219.76        1000
4096                 5672.93           5669.29           5677.70        1000
8192                10516.83          10508.17          10527.35        1000
16384               20749.05          20721.75          20773.65         100
32768               41542.67          41486.17          41583.38         100
65536               83952.56          83893.27          84037.90         100
131072             171908.63         171778.88         171999.21         100
262144             283402.13         282941.08         283644.96         100
524288             594003.35         593213.06         594328.39         100
1048576           1183654.94        1183008.59        1184183.80         100
