
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      77.21
2                     146.07
4                      90.62
8                      96.29
16                    139.89
32                    204.03
64                    325.48
128                   565.73
256                  1130.11
512                  2282.55
1024                 5161.83
2048                 7799.45
4096                13577.53
8192                24047.07
16384               46951.86
32768               94062.50
65536              167609.49
131072             334819.41
262144             677043.60
524288            1375022.42
