
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      28.75             27.35             30.11        1000
2                      29.99             28.54             31.65        1000
4                      32.89             31.00             35.66        1000
8                      32.50             30.85             34.06        1000
16                     33.63             32.06             35.88        1000
32                     38.17             36.36             45.88        1000
64                     48.68             46.35             50.71        1000
128                    65.68             62.58             69.56        1000
256                   188.78            177.75            198.08        1000
512                   278.50            272.12            283.47        1000
1024                  380.99            365.93            394.25        1000
2048                  619.79            593.56            630.36        1000
4096                 1114.38           1112.27           1119.10        1000
8192                 2065.81           2062.32           2070.58        1000
16384                4102.56           4092.61           4112.28         100
32768                8376.91           8355.35           8399.98         100
65536               17190.78          17152.12          17222.00         100
131072              34895.38          34778.43          34974.28         100
262144              59249.48          58200.42          59516.57         100
524288             120214.70         118028.09         120700.74         100
1048576            264137.18         259189.73         265119.85         100
