
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      20.46             19.32             21.30        1000
2                      20.57             19.40             21.86        1000
4                      20.94             19.51             22.12        1000
8                      20.85             19.58             22.23        1000
16                     21.37             19.98             22.87        1000
32                     24.10             22.40             26.21        1000
64                     28.33             26.33             30.91        1000
128                    30.50             28.23             33.73        1000
256                    36.93             32.63             52.70        1000
512                    40.84             36.72             56.21        1000
1024                   61.14             56.83             76.59        1000
2048                  101.69             87.15            116.28        1000
4096                  180.75            176.58            187.89        1000
8192                  338.82            333.10            348.54        1000
16384                 628.77            617.88            647.93         100
32768                1342.65           1322.73           1357.70         100
65536                2951.19           2879.02           3001.82         100
131072               5886.11           5747.90           5986.45         100
262144               6421.19           6110.31           6533.49         100
524288              12832.75          12174.22          13058.03         100
1048576             25544.57          24221.56          25974.25         100
