
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       4.06              3.73              4.32        1000
2                       4.04              3.67              4.31        1000
4                       4.07              3.75              4.37        1000
8                       4.22              3.95              4.46        1000
16                      4.34              4.05              4.63        1000
32                      5.75              4.70              6.37        1000
64                      6.27              5.54              6.71        1000
128                     7.40              5.88              8.40        1000
256                     8.60              7.08              9.74        1000
512                    10.43              8.81             11.66        1000
1024                   14.00             12.83             15.22        1000
2048                   20.66             19.61             21.96        1000
4096                   32.90             30.92             34.64        1000
8192                   63.17             59.68             64.87        1000
16384                  70.11             68.35             72.36         100
32768                 105.99            103.00            107.97         100
65536                 185.69            181.62            189.04         100
131072                349.00            339.18            357.60         100
262144               1225.62           1184.23           1257.96         100
524288               4135.73           3901.17           4359.06         100
1048576             10017.73           9821.72          10453.25         100
