# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       1.79
1                       1.78
2                       1.78
4                       1.78
8                       1.78
16                      1.78
32                      1.96
64                      2.06
128                     2.12
256                     2.82
512                     2.99
1024                    3.15
2048                    3.56
4096                    4.28
8192                    5.32
16384                   7.06
32768                   9.54
65536                  13.11
131072                 20.37
262144                 35.42
524288                 58.57
1048576               102.54
2097152               188.41
4194304               361.54
