
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      44.42             42.17             46.13        1000
2                      44.57             41.87             46.78        1000
4                      45.48             43.32             47.19        1000
8                      49.08             46.20             52.05        1000
16                     54.80             52.38             57.15        1000
32                     73.21             70.10             76.31        1000
64                    106.73            102.95            111.71        1000
128                   191.19            185.75            196.82        1000
256                   620.49            612.55            626.21        1000
512                   893.95            889.79            900.07        1000
1024                 1230.18           1224.60           1237.58        1000
2048                 1925.04           1911.74           1939.10        1000
4096                 3421.95           3419.72           3424.63        1000
8192                 6343.67           6339.97           6347.16        1000
16384               12532.47          12511.20          12549.73         100
32768               25065.66          25019.78          25092.22         100
65536               50500.22          50428.62          50548.28         100
131072             102316.89         102227.63         102401.94         100
262144             170652.06         170140.07         170958.18         100
524288             350826.69         350448.23         351005.47         100
1048576            737069.88         735894.55         738459.58         100
