
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      16.47             15.20             17.55        1000
2                      16.54             15.43             18.21        1000
4                      16.66             15.29             18.33        1000
8                      17.03             15.87             18.56        1000
16                     17.11             16.17             18.44        1000
32                     17.54             16.95             18.57        1000
64                     18.65             17.59             20.15        1000
128                    20.76             19.21             22.72        1000
256                    16.27             15.86             16.83        1000
512                    21.12             20.44             21.82        1000
1024                   33.54             33.04             34.08        1000
2048                   56.83             55.45             57.49        1000
4096                  101.52            100.06            103.00        1000
8192                  177.61            175.65            180.18        1000
16384                 388.33            385.60            392.13         100
32768                 826.58            817.17            833.56         100
65536                1799.48           1770.81           1814.96         100
131072               3803.00           3744.37           3845.33         100
262144               6492.19           6304.14           6565.62         100
524288              13141.98          12867.00          13351.72         100
1048576             26958.05          26317.98          27385.12         100
