
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      27.96             20.37             34.11        1000
2                      26.67             19.30             32.54        1000
4                      38.74             29.35             45.48        1000
8                      35.51             24.83             43.04        1000
16                     42.55             31.34             50.40        1000
32                     45.85             32.67             56.15        1000
64                     72.07             50.08             88.25        1000
128                   110.56             80.19            137.24        1000
256                   219.26            155.74            263.21        1000
512                   399.25            256.10            507.40        1000
1024                  818.76            813.40            826.46        1000
2048                 1268.99           1260.06           1280.56        1000
4096                 2271.90           2252.63           2291.16        1000
8192                 4178.51           4140.94           4215.25        1000
16384                8191.47           8111.44           8249.34         100
32768               16370.06          16303.35          16453.05         100
65536               32862.97          32690.80          32976.35         100
131072              56250.07          55791.83          56392.12         100
262144             113060.48         112228.23         113600.41         100
524288             228510.07         225413.41         231329.04         100
1048576            468397.86         464512.23         474287.43         100
