
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      23.99             23.26             24.74        1000
2                      24.43             24.04             24.91        1000
4                      25.50             25.25             25.72        1000
8                      25.79             25.59             25.94        1000
16                     26.37             25.96             26.70        1000
32                     29.82             28.66             30.71        1000
64                     28.83             28.06             29.46        1000
128                    31.90             31.07             32.76        1000
256                    28.34             27.83             28.77        1000
512                    42.62             41.91             43.11        1000
1024                   64.69             64.00             65.34        1000
2048                  110.38            108.58            111.67        1000
4096                  189.68            188.73            190.84        1000
8192                  357.64            356.89            359.76        1000
16384                 729.73            726.99            732.19         100
32768                1602.05           1585.50           1611.54         100
65536                3412.10           3390.26           3429.38         100
131072               6867.91           6816.05           6902.94         100
262144              11869.08          11708.12          11969.83         100
524288              23911.76          23532.62          24158.86         100
1048576             48805.01          48165.20          49269.52         100
