
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      23.93             23.08             24.71        1000
2                      24.22             23.50             24.89        1000
4                      24.54             23.60             25.43        1000
8                      24.78             23.67             25.85        1000
16                     25.61             25.12             26.08        1000
32                     26.72             25.99             27.25        1000
64                     29.28             28.55             29.85        1000
128                    34.64             33.40             35.67        1000
256                    41.79             41.16             42.25        1000
512                    66.34             65.44             67.31        1000
1024                  101.79            100.38            103.18        1000
2048                  169.74            167.30            171.84        1000
4096                  295.59            293.60            297.09        1000
8192                  576.91            574.36            579.14        1000
16384                1203.60           1194.69           1210.35         100
32768                2535.28           2524.57           2543.31         100
65536                5115.43           5097.94           5131.63         100
131072              10329.63          10274.88          10374.94         100
262144              17233.74          17098.48          17335.01         100
524288              34725.73          34420.38          34994.94         100
1048576             70866.66          70250.86          71328.54         100
