
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       5.34              4.95              5.68        1000
2                       5.24              4.83              5.62        1000
4                       5.32              4.89              5.68        1000
8                       5.34              4.94              5.70        1000
16                      5.26              4.86              5.58        1000
32                      5.84              5.29              6.40        1000
64                      6.06              5.47              6.56        1000
128                     8.44              7.74              9.04        1000
256                     8.65              7.93              9.32        1000
512                     9.55              8.77             10.22        1000
1024                   13.33             12.37             14.19        1000
2048                   20.24             19.54             21.15        1000
4096                   35.25             33.95             36.54        1000
8192                   63.87             61.79             65.92        1000
16384                 125.56            122.06            128.59         100
32768                 246.30            241.90            250.68         100
65536                 480.53            469.08            490.79         100
131072               1126.30           1071.73           1152.38         100
262144               1184.38           1084.02           1214.31         100
524288               2917.26           2731.51           3072.18         100
1048576              7370.16           6980.62           7771.02         100
