
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      14.72             13.82             16.01        1000
2                      14.18              9.38             17.91        1000
4                      14.51              9.66             18.51        1000
8                      18.71             12.97             22.35        1000
16                     19.60             13.52             25.54        1000
32                     35.72             26.62             41.37        1000
64                     35.27             21.89             48.06        1000
128                    59.70             42.68             74.02        1000
256                   106.19            101.01            110.77        1000
512                   175.20            100.81            231.39        1000
1024                  365.60            359.91            372.32        1000
2048                  589.48            576.45            597.22        1000
4096                 1097.82           1082.03           1110.25        1000
8192                 2088.79           2048.37           2117.23        1000
16384                4004.75           3941.70           4043.69         100
32768                8091.40           7908.49           8151.31         100
65536               16282.48          15977.32          16400.27         100
131072              28207.76          27867.80          28310.56         100
262144              56655.31          56034.82          56812.07         100
524288             113346.31         112621.21         113740.31         100
1048576            231528.45         227768.42         235420.63         100
