
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      45.82             35.94             54.73        1000
2                      50.00             38.10             59.96        1000
4                      49.19             33.83             59.35        1000
8                      54.72             38.49             65.85        1000
16                     53.84             37.40             66.17        1000
32                     83.01             55.47            102.64        1000
64                    138.81             82.62            172.84        1000
128                   208.20            144.81            257.07        1000
256                   421.27            268.32            502.74        1000
512                   906.28            649.43           1052.01        1000
1024                 1641.70           1634.94           1649.20        1000
2048                 2547.88           2532.95           2561.31        1000
4096                 4580.91           4549.23           4605.09        1000
8192                 8438.77           8376.04           8481.98        1000
16384               16387.16          16304.67          16486.66         100
32768               32800.25          32675.56          32898.87         100
65536               65569.01          65352.23          65719.92         100
131072             112997.19         112262.15         113315.52         100
262144             226875.77         225789.61         227735.35         100
524288             457516.56         455425.02         459377.17         100
1048576            923407.17         917603.23         931387.83         100
