
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      45.27             44.20             46.36        1000
2                      51.35             50.04             53.19        1000
4                      53.03             51.34             55.70        1000
8                      55.86             54.74             57.67        1000
16                     62.18             60.89             63.96        1000
32                     98.12             96.90             99.44        1000
64                    168.85            166.10            171.73        1000
128                   299.96            296.90            302.50        1000
256                   414.88            411.14            422.39        1000
512                   591.72            588.05            597.49        1000
1024                  810.88            805.35            817.60        1000
2048                 1273.63           1265.37           1286.43        1000
4096                 2214.83           2210.33           2219.49        1000
8192                 4140.49           4134.86           4147.10        1000
16384                8262.44           8245.42           8279.57         100
32768               16698.99          16668.90          16727.29         100
65536               33805.76          33766.86          33843.89         100
131072              68535.97          68474.55          68605.84         100
262144             115334.49         114870.27         115639.91         100
524288             232090.46         231018.88         232589.34         100
1048576            482085.42         480109.93         482857.72         100
