
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      11.34              9.40             13.56        1000
2                      11.36              8.94             13.51        1000
4                      13.34             11.57             15.16        1000
8                      13.71             11.86             15.54        1000
16                     15.62             13.31             17.73        1000
32                     17.28             14.71             20.05        1000
64                     18.78             15.96             21.25        1000
128                    30.01             23.09             35.02        1000
256                    43.58             34.85             50.11        1000
512                    84.18             63.91             95.89        1000
1024                  131.91            129.07            133.89        1000
2048                  221.96            218.03            225.06        1000
4096                  416.37            411.55            419.68        1000
8192                  792.80            782.80            799.34        1000
16384                1571.06           1536.04           1595.37         100
32768                3296.11           3241.87           3338.02         100
65536                6579.86           6434.51           6681.41         100
131072              12944.88          12718.47          13086.00         100
262144              26084.93          25729.48          26307.72         100
524288              44666.78          44243.77          45000.36         100
1048576             90809.35          89916.36          91644.01         100
