
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      20.49             19.03             21.63        1000
2                      20.51             19.13             21.75        1000
4                      20.55             18.74             22.09        1000
8                      20.80             18.92             22.42        1000
16                     21.01             19.29             22.64        1000
32                     23.69             22.27             25.42        1000
64                     26.03             24.14             28.41        1000
128                    30.36             28.22             33.32        1000
256                    37.04             32.68             52.76        1000
512                    40.99             36.84             55.95        1000
1024                   61.12             56.80             76.06        1000
2048                  102.17             88.79            116.42        1000
4096                  187.97            183.44            195.39        1000
8192                  328.78            323.23            338.61        1000
16384                 629.94            619.76            649.26         100
32768                1356.56           1335.08           1369.24         100
65536                2966.71           2890.24           3011.99         100
131072               5857.84           5708.05           5950.51         100
262144               6457.89           6162.71           6566.07         100
524288              12822.78          12173.43          13037.07         100
1048576             29294.32          28077.44          29761.22         100
