
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      65.52             64.50             66.52        1000
2                      67.03             64.91             69.36        1000
4                      73.44             71.86             75.27        1000
8                      76.55             74.14             79.72        1000
16                    116.64            114.55            118.54        1000
32                    198.03            186.58            207.88        1000
64                    353.35            349.85            356.55        1000
128                   697.36            691.85            705.28        1000
256                  1005.03            999.21           1014.13        1000
512                  1491.81           1487.01           1500.50        1000
1024                 2075.60           2069.92           2084.49        1000
2048                 3200.72           3186.55           3210.37        1000
4096                 5674.49           5666.20           5679.36        1000
8192                10521.92          10506.77          10531.24        1000
16384               20776.99          20738.20          20801.86         100
32768               41529.35          41477.31          41565.61         100
65536               83975.17          83882.41          84038.88         100
131072             172011.55         171845.44         172162.68         100
262144             283380.89         282917.30         283670.55         100
524288             597673.26         596963.56         598212.97         100
1048576           1185421.44        1184621.87        1186016.77         100
