
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       9.50              7.13             11.65        1000
2                      10.34              8.23             12.33        1000
4                       9.49              6.82             11.65        1000
8                      10.48              7.89             13.14        1000
16                     11.63              8.80             14.62        1000
32                     13.77             10.43             17.61        1000
64                     16.40             12.43             19.82        1000
128                    21.84             18.09             26.63        1000
256                    33.94             26.69             40.01        1000
512                    79.95             74.77             84.38        1000
1024                  100.12             96.33            103.24        1000
2048                  167.88            163.58            170.68        1000
4096                  310.41            307.63            312.88        1000
8192                  593.64            586.18            599.23        1000
16384                1168.21           1140.12           1185.86         100
32768                2415.68           2383.96           2449.45         100
65536                4966.52           4879.82           5032.93         100
131072               9990.16           9800.39          10156.53         100
262144              20071.29          19611.78          20326.61         100
524288              33645.36          33245.90          33975.59         100
1048576             68231.29          67108.16          68968.27         100
